,model,ablation,predicted,fold,fold_id,type,subject,joint,polDegree,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
28,MVPR,anthropo,vel,2-fold,fold1,eval,S05_a,shoulder,2,,,,,4.7488789558410645,,0.0025440822726137,,0.0019511770800188,,,,0.0130122788304476,,0.0025105976827809,,
29,MVPR,anthropo,vel,2-fold,fold1,eval,S05_a,elbow,2,,,,,4.7488789558410645,,0.0041154632037442,,0.0032815775009215,,,,0.0157697079537826,,0.004103377631652,,
30,MVPR,anthropo,vel,2-fold,fold1,eval,S06_a,shoulder,2,,,,,4.7488789558410645,,0.0024318780310194,,0.0019178747233569,,,,0.0146091233235394,,0.002426389145314,,
31,MVPR,anthropo,vel,2-fold,fold1,eval,S06_a,elbow,2,,,,,4.7488789558410645,,0.0028660022594701,,0.0023375400434262,,,,0.0135216217606558,,0.0028191104773088,,
32,MVPR,anthropo,vel,2-fold,fold1,eval,S10_a,shoulder,2,,,,,4.7488789558410645,,0.0021421636110986,,0.0016770180806778,,,,0.0140676869004988,,0.0019241865982756,,
33,MVPR,anthropo,vel,2-fold,fold1,eval,S10_a,elbow,2,,,,,4.7488789558410645,,0.0022047895249199,,0.0017597031099505,,,,0.0092181224687628,,0.0021409633339735,,
34,MVPR,anthropo,vel,2-fold,fold1,eval,S12_a,shoulder,2,,,,,4.7488789558410645,,0.002604529527503,,0.0020515547537791,,,,0.0165865452825446,,0.0025670416345034,,
35,MVPR,anthropo,vel,2-fold,fold1,eval,S12_a,elbow,2,,,,,4.7488789558410645,,0.0033067104857438,,0.0026491099762271,,,,0.0230695549138583,,0.0031635487667562,,
36,MVPR,anthropo,vel,2-fold,fold1,eval,S13_c,shoulder,2,,,,,4.7488789558410645,,0.0057292713683492,,0.0045722965973828,,,,0.0201934475811378,,0.0057292535970133,,
37,MVPR,anthropo,vel,2-fold,fold1,eval,S13_c,elbow,2,,,,,4.7488789558410645,,0.0060210868533527,,0.0047377826161465,,,,0.023790426036882,,0.0060136563415814,,
38,MVPR,anthropo,vel,2-fold,fold1,eval,S14_c,shoulder,2,,,,,4.7488789558410645,,0.0064282125949394,,0.0053959157465974,,,,0.0217434649060108,,0.0064215242310809,,
39,MVPR,anthropo,vel,2-fold,fold1,eval,S14_c,elbow,2,,,,,4.7488789558410645,,0.0063697475291565,,0.0048994365666277,,,,0.0252976806692152,,0.0063686432702332,,
40,MVPR,anthropo,vel,2-fold,fold1,eval,S15_c,shoulder,2,,,,,4.7488789558410645,,0.0058198721412565,,0.0049317181717063,,,,0.0180657120942335,,0.0058142610853649,,
41,MVPR,anthropo,vel,2-fold,fold1,eval,S15_c,elbow,2,,,,,4.7488789558410645,,0.0052880486643137,,0.0042983622559179,,,,0.0230238748494998,,0.0052568591383318,,
42,MVPR,anthropo,vel,2-fold,fold1,eval,S16_c,shoulder,2,,,,,4.7488789558410645,,0.0042748975569294,,0.0033446216194499,,,,0.0198744869659906,,0.0042748149641802,,
43,MVPR,anthropo,vel,2-fold,fold1,eval,S16_c,elbow,2,,,,,4.7488789558410645,,0.0051030548708741,,0.0040135164742993,,,,0.0195226409560355,,0.005094876096972,,
44,MVPR,anthropo,vel,2-fold,fold1,eval,S17_c,shoulder,2,,,,,4.7488789558410645,,0.0054465984126586,,0.004515745115029,,,,0.0159858473884786,,0.0054459967451773,,
45,MVPR,anthropo,vel,2-fold,fold1,eval,S17_c,elbow,2,,,,,4.7488789558410645,,0.005314228289164,,0.0042361907545845,,,,0.0188784940173332,,0.0053101772637673,,
46,MVPR,anthropo,vel,2-fold,fold1,eval,S2_c,shoulder,2,,,,,4.7488789558410645,,0.0045000875114797,,0.0035215221593132,,,,0.0157502829254887,,0.0044904518048772,,
47,MVPR,anthropo,vel,2-fold,fold1,eval,S2_c,elbow,2,,,,,4.7488789558410645,,0.0050812831587246,,0.0039660327547187,,,,0.0171673410075036,,0.0050527398867748,,
48,MVPR,anthropo,vel,2-fold,fold1,eval,S4_c,shoulder,2,,,,,4.7488789558410645,,0.0066013570528389,,0.0052002353454884,,,,0.0241566834724519,,0.0062087987734349,,
49,MVPR,anthropo,vel,2-fold,fold1,eval,S4_c,elbow,2,,,,,4.7488789558410645,,0.0087670203852059,,0.0068831460675454,,,,0.0386872642099961,,0.0087025775130316,,
