,model,ablation,predicted,fold,fold_id,type,dataType,subject,joint,polDegree,FNO_shuff,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
26,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S03_a,shoulder,,,,,,,0.0313310623168945,,0.014626524539667,,0.0132488321446214,,,,0.0288037149276838,,0.0146264638471111,,
27,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S03_a,elbow,,,,,,,0.0313310623168945,,0.0128317798145048,,0.0109568632856722,,,,0.0340397112953606,,0.0128317017922065,,
28,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S05_a,shoulder,,,,,,,0.0313310623168945,,0.009707808977122,,0.0088747523103315,,,,0.023423623276559,,0.0097040386499645,,
29,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S05_a,elbow,,,,,,,0.0313310623168945,,0.0085094296376969,,0.0070361352550891,,,,0.0282488217761105,,0.008508448649353,,
30,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S06_a,shoulder,,,,,,,0.0313310623168945,,0.0119835025388736,,0.0109167455375474,,,,0.0280438812719781,,0.0119830348540237,,
31,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S06_a,elbow,,,,,,,0.0313310623168945,,0.0098240687941502,,0.0084248423146458,,,,0.0267905455825294,,0.0098238772367811,,
32,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S10_a,shoulder,,,,,,,0.0313310623168945,,0.0072282057240827,,0.0064695794731121,,,,0.0200656945790948,,0.0072218521814466,,
33,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S10_a,elbow,,,,,,,0.0313310623168945,,0.0049293701136987,,0.0041749285701515,,,,0.0152619612359236,,0.004928428394146,,
34,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S12_a,shoulder,,,,,,,0.0313310623168945,,0.0116660435572885,,0.0102572803675048,,,,0.025089977430844,,0.0116652527267932,,
35,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S12_a,elbow,,,,,,,0.0313310623168945,,0.0079881476488626,,0.006203870786221,,,,0.0262076624305962,,0.0079881353172682,,
36,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S13_c,shoulder,,,,,,,0.0313310623168945,,0.0056104189713025,,0.0044721825485741,,,,0.0195045855550179,,0.0056080944476462,,
37,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S13_c,elbow,,,,,,,0.0313310623168945,,0.005861310709112,,0.0046601195407569,,,,0.0223760766663952,,0.0058591128214079,,
38,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S14_c,shoulder,,,,,,,0.0313310623168945,,0.0064240152826026,,0.0054380276131776,,,,0.020355121488298,,0.006423226954265,,
39,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S14_c,elbow,,,,,,,0.0313310623168945,,0.0063063494924027,,0.0048310628059598,,,,0.0251522240635375,,0.0063063412534276,,
40,MVLR,all_but_pos,vel,2-fold,fold1,eval,FULL,S15_c,shoulder,,,,,,,0.0313310623168945,,0.0056754831869717,,0.0048296935176751,,,,0.0182969699490873,,0.0056744959519517,,
